"GENE","FC","log2(FC)","raw.pval","-log10(p)"
"O88693",0.92032,-0.11979,0.58311,0.23425
"P60335",1.0601,0.084194,0.58377,0.23376
"Q99PT1",1.1068,0.14634,0.58668,0.2316
"Q8K3V4",1.1651,0.22048,0.59053,0.22876
"P17918",0.94265,-0.085206,0.59299,0.22695
"Q3U9Q8",1.0769,0.10682,0.59489,0.22556
"P02104",1.1132,0.1547,0.59816,0.22318
"Q1WWK3",0.84845,-0.2371,0.60006,0.2218
"Q5YLW3",1.0876,0.12118,0.60323,0.21952
"Q69ZX3",1.124,0.16858,0.60466,0.21849
"D3Z712",0.85218,-0.23076,0.60497,0.21827
"Q3THU8",1.0635,0.088816,0.60614,0.21743
"Q3V3K3",1.0469,0.066179,0.60724,0.21664
"Q9CQV8",1.0522,0.073411,0.61028,0.21447
"P38647",1.1158,0.15812,0.61186,0.21335
"P62806",0.89522,-0.15968,0.61311,0.21246
"Q3U6P5",1.0313,0.044438,0.61498,0.21114
"Q5XK38",0.89041,-0.16746,0.61516,0.21101
"P10126",1.1391,0.18793,0.617,0.20971
"O88569",0.90057,-0.15108,0.62438,0.20455
"F8WIV2",0.80833,-0.30698,0.62781,0.20218
"A8DUK7",1.1857,0.24573,0.62866,0.20159
"O55234",0.92543,-0.1118,0.63038,0.2004
"Q99J77",0.91681,-0.1253,0.63351,0.19824
"P81183",1.5592,0.64079,0.6353,0.19702
"P50543",0.91993,-0.12041,0.63611,0.19647
"P83917",0.88538,-0.17563,0.64439,0.19085
"Q9WTP6",1.0872,0.12067,0.64522,0.19029
"Q3U518",0.83175,-0.26578,0.64541,0.19016
"A8IP69",0.94563,-0.080656,0.64542,0.19016
"A6BLY7",1.3973,0.48267,0.64781,0.18855
"E9QA15",0.91387,-0.12994,0.64804,0.1884
"Q62426",0.71375,-0.4865,0.6496,0.18735
"P26043",1.0458,0.064662,0.64961,0.18735
"P24815",1.2187,0.28533,0.65202,0.18574
"A2AVJ7",1.0498,0.070167,0.65434,0.18419
"Q6ZWX6",1.0662,0.092532,0.65445,0.18412
"Q3US43",1.1096,0.15003,0.65829,0.18159
"Q923D2",1.1312,0.17786,0.65998,0.18047
"P00493",0.78798,-0.34378,0.66245,0.17885
"Q5M9N5",1.0837,0.11596,0.66426,0.17766
"Q9D1D4",1.1326,0.17968,0.66713,0.17579
"Q9DCC5",0.95099,-0.072498,0.66834,0.175
"P43275",0.95187,-0.071162,0.66864,0.17481
"Q3THW5",1.0574,0.080562,0.67429,0.17116
"P14873",1.0887,0.12256,0.67501,0.17069
"Q3UWP8",0.96256,-0.055058,0.67791,0.16883
"Q6PFA2",0.90932,-0.13715,0.6781,0.1687
"Q9CPT4",0.93918,-0.090532,0.68107,0.16681
"Q3U5Q3",1.8019,0.8495,0.68544,0.16403
"Q05186",0.94896,-0.075588,0.6863,0.16349
"Q9D0T1",0.87531,-0.19214,0.69104,0.1605
"Q8VDN2",1.0419,0.059224,0.69151,0.1602
"P26443",1.0509,0.071641,0.69494,0.15805
"P28665",0.78467,-0.34985,0.69559,0.15765
"P27773",1.0608,0.085182,0.69675,0.15692
"Q5EBP9",1.0544,0.076432,0.69801,0.15614
"Q8C290",1.0741,0.10318,0.69826,0.15598
"Q3UXK8",0.97062,-0.043019,0.69993,0.15494
"Q3TLX1",1.0419,0.059152,0.70072,0.15445
"P06728",1.0789,0.10961,0.70077,0.15442
"Q9CPV4",1.1569,0.21024,0.70196,0.15369
"Q99KP6",1.1131,0.15464,0.7025,0.15335
"Q6IFX2",0.67922,-0.55806,0.70279,0.15317
"P14069",1.0417,0.058979,0.70339,0.15281
"Q9JHR7",1.2147,0.28055,0.70356,0.1527
"Q3TET0",0.70738,-0.49945,0.70439,0.15219
"Q544F6",1.2125,0.278,0.71544,0.14543
"Q61781",0.80709,-0.30919,0.71587,0.14517
"P99029",0.95984,-0.059132,0.71658,0.14474
"G5E850",0.9811,-0.027528,0.71943,0.14301
"Q6A0F1",1.0937,0.12928,0.72363,0.14048
"O08553",1.0217,0.030993,0.72601,0.13906
"P23953",1.0202,0.028859,0.72624,0.13892
"Q60972",0.94429,-0.082704,0.72648,0.13877
"B2RUC7",0.92526,-0.11207,0.72722,0.13834
"Q3TRH8",1.0217,0.030985,0.73024,0.13653
"Q641N3",0.94023,-0.088911,0.73092,0.13613
"Q9D1R9",1.1193,0.16257,0.73206,0.13545
"Q91VC3",0.96338,-0.053821,0.73339,0.13467
"F6QYF8",1.1235,0.16799,0.73656,0.13279
"Q99J57",1.1331,0.18026,0.74113,0.13011
"Q3U1J4",0.77549,-0.36681,0.74487,0.12792
"A0A140LIS5",0.90132,-0.14988,0.74626,0.12711
"Q3UIH5",1.3843,0.46911,0.74711,0.12662
"Q8BVI9",0.90507,-0.14389,0.74922,0.12539
"P29341",1.0279,0.039669,0.74942,0.12527
"P27661",0.95041,-0.073373,0.75452,0.12233
"Q564F6",0.85447,-0.22691,0.75605,0.12145
"P62911",0.95622,-0.064581,0.75635,0.12128
"Q3UKT3",1.0161,0.023029,0.75652,0.12118
